year,geoid,office,party abbr,party name,candidate,votes,percentage
2016,2604,4th District Representative in Congress 2 Year Term (1) Position,NLP,Natural Law,"Butkovich, Keith",1838,0.58
2016,2603,3rd District Representative in Congress 2 Year Term (1) Position,REP,Republican,"Amash, Justin",203545,59.45
2016,2603,3rd District Representative in Congress 2 Year Term (1) Position,DEM,Democratic,"Smith, Douglas",128400,37.5
2016,2603,3rd District Representative in Congress 2 Year Term (1) Position,UST,US Taxpayers,"Gerrard, Ted",10420,3.04
2016,2602,2nd District Representative in Congress 2 Year Term (1) Position,REP,Republican,"Huizenga, Bill",212508,62.63
2016,2602,2nd District Representative in Congress 2 Year Term (1) Position,DEM,Democratic,"Murphy, Dennis B.",110391,32.53
2016,2602,2nd District Representative in Congress 2 Year Term (1) Position,LIB,Libertarian,"Haas, Erwin J.",8154,2.4
2016,2602,2nd District Representative in Congress 2 Year Term (1) Position,UST,US Taxpayers,"Graeser, Ronald E.",2904,0.86
2016,2602,2nd District Representative in Congress 2 Year Term (1) Position,GRN,Green,"Brady, Matthew A.",5353,1.58
2016,2602,2nd District Representative in Congress 2 Year Term (1) Position,W-I,Write-In,"Arnold, Joshua",18,0.01
2016,2601,1st District Representative in Congress 2 Year Term (1) Position,REP,Republican,"Bergman, Jack",197777,54.9
2016,2601,1st District Representative in Congress 2 Year Term (1) Position,DEM,Democratic,"Johnson, Lon",144334,40.06
2016,2601,1st District Representative in Congress 2 Year Term (1) Position,LIB,Libertarian,"Bostow, Diane",13386,3.72
2016,2601,1st District Representative in Congress 2 Year Term (1) Position,GRN,Green,"Boal, Ellis",4774,1.33
2016,26,President of the United States 4 Year Term (1) Position,REP,Republican,"Trump, Donald J.",2279543,47.5
2016,26,President of the United States 4 Year Term (1) Position,DEM,Democratic,"Clinton, Hillary",2268839,47.27
2016,26,President of the United States 4 Year Term (1) Position,LIB,Libertarian,"Johnson, Gary",172136,3.59
2016,26,President of the United States 4 Year Term (1) Position,UST,US Taxpayers,"Castle, Darrell L.",16139,0.34
2016,26,President of the United States 4 Year Term (1) Position,GRN,Green,"Stein, Jill",51463,1.07
2016,26,President of the United States 4 Year Term (1) Position,NLP,Natural Law,"Soltysik, Emidio Mimi",2209,0.05
2016,26,President of the United States 4 Year Term (1) Position,W-I,Write-In,"Fox, Cherunda",10,0.0
2016,26,President of the United States 4 Year Term (1) Position,W-I,Write-In,"Hartnell, Ben",39,0.0
2016,26,President of the United States 4 Year Term (1) Position,W-I,Write-In,"Hoefling, Tom",95,0.0
2016,26,President of the United States 4 Year Term (1) Position,W-I,Write-In,"Kotlikoff, Laurence",87,0.0
2016,26,President of the United States 4 Year Term (1) Position,W-I,Write-In,"Maturen, Michael A.",517,0.01
2016,26,President of the United States 4 Year Term (1) Position,W-I,Write-In,"McMullin, Evan",8177,0.17
2016,26,President of the United States 4 Year Term (1) Position,W-I,Write-In,"Moorehead, Monica",30,0.0
